"filename", "language", "JavaScript", "CSS", "JavaScript React", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\App.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\App.js", "JavaScript", 91, 0, 0, 0, 0, 0, 1, 9, 101
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Assets\logos\Main_logo.jsx", "JavaScript React", 0, 0, 1313, 0, 0, 0, 14, 3, 1330
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Assets\logos\Main_logo_dark.jsx", "JavaScript React", 0, 0, 1315, 0, 0, 0, 21, 4, 1340
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Assets\logos\PolygonToken.jsx", "JavaScript React", 0, 0, 20, 0, 0, 0, 0, 3, 23
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Assets\logos\SolanaToken.jsx", "JavaScript React", 0, 0, 34, 0, 0, 0, 13, 4, 51
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Assets\logos\wallet\sequence.svg", "XML", 0, 0, 0, 0, 65, 0, 0, 1, 66
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Event\EventCardList.jsx", "JavaScript React", 0, 0, 118, 0, 0, 0, 0, 3, 121
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Event\EventCategories.jsx", "JavaScript React", 0, 0, 36, 0, 0, 0, 0, 4, 40
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Event\Events.jsx", "JavaScript React", 0, 0, 21, 0, 0, 0, 0, 3, 24
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Event\Filter.jsx", "JavaScript React", 0, 0, 68, 0, 0, 0, 0, 4, 72
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Footer\BottomNavigation.jsx", "JavaScript React", 0, 0, 58, 0, 0, 0, 1, 3, 62
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\GoLive\GoLive.jsx", "JavaScript React", 0, 0, 1101, 0, 0, 0, 70, 78, 1249
"f:\Supersapiens-Work\DBeats\Videos-Dbeats\dbeats-frontend\MintFlick\Mintflick-webapp\src\Componants\Header\EmptyNotification.jsx", "JavaScript React", 0, 0, 13, 0, 0, 0, 0, 3, 16
